"","term","estimate","std.error","statistic","p.value","term.1","estimate.1","std.error.1","statistic.1","p.value.1"
"40","eal_score",-0.065360826780122,0.0174640773173675,-3.74258688806438,0.00018723538150223,"eal_score",47.8369539013262,33.7700558075,1.41654944765303,0.156739335792801
"41","resl_score",0.0933810801643361,0.0297956519827841,3.13405057282491,0.00174893712330556,"resl_score",51.7575917438614,51.1481622002689,1.01191498418274,0.311676668015035
"42","walk_index",-0.00929705269357022,0.043977736406179,-0.211403620406983,0.832593710200941,"walk_index",14.8657596794342,83.864106001646,0.177260098368454,0.859318456641092
"43","food_index",-0.00557444669250243,0.00594962107772662,-0.936941465629009,0.348900948677296,"food_index",-6.43889000088368,8.07108647569853,-0.797772396599978,0.425078380134319
"44","hdrink",0.00121384594274602,0.0203300735417166,0.0597069135168276,0.95239498608343,"hdrink",213.086646703741,37.4106138577321,5.69588746963851,0.0000000137107622084849
"45","fruit",0.0581476411312307,0.0247171833790288,2.35251890312736,0.018742446814964,"fruit",303.731952180708,46.6061202160048,6.51699714056878,0.0000000000864588372143851
"46","veteran",-0.020088375474385,0.0216615651284039,-0.927374146572811,0.353843373676936,"veteran",-39.2838440890388,39.9407328800894,-0.983553411675677,0.325430353733157
"47","vacant",-0.0131376451339455,0.00663924776076981,-1.97878518882419,0.0479761567739895,"vacant",-1.917692225141,11.4034012404374,-0.168168442441604,0.866464375020002
"48","incarcerate",0.0941197704839172,0.0243562662684159,3.86429387192107,0.000114935186402626,"incarcerate",97.8409025373316,39.4420734243025,2.48062269660109,0.0131806825195182
"49","pre1960pct",1.00165529669649,0.527329854086092,1.89948528219105,0.0576433712227546,"pre1960pct",865.757998617385,933.678570583971,0.927254866817705,0.353883765369036
"50","dslpm",0.823408591702989,0.527276105725472,1.56162697827938,0.118532921653998,"dslpm",1490.20969720803,1042.88031845764,1.42893644729241,0.153147480874246
"51","resp",1.48231329740834,0.565388269568912,2.62176167634068,0.0088134953238313,"resp",-4580.96090488174,1094.10420526621,-4.18695119060175,0.000029251293318749
"52","ptraf",0.00121054654927368,0.000420397752690334,2.87952668996633,0.00402476450176913,"ptraf",2.06644112409007,0.840542680522946,2.4584606730552,0.014020786791272
"53","ptsdf",-0.00109518792116971,0.0770164368161195,-0.0142201842417681,0.988655724673656,"ptsdf",-12.3947370947823,155.566943915112,-0.0796746197029217,0.936502425235842
"54","ozone",-0.0798304681609133,0.0112405837883663,-7.10198595232534,0.00000000000169815717298594,"ozone",36.7508408266189,21.0773888618973,1.74361449928247,0.0813493033961059
"55","access_exercise",-0.0271580627740532,0.305686668208523,-0.0888428106243987,0.929215663010959,"access_exercise",-655.752454704911,510.812560783783,-1.28374379380713,0.199350631749672
"56","social_assoc",0.0391437801996383,0.0126885637999049,3.08496539221656,0.0020634135097188,"social_assoc",-37.5543734720604,19.1713546285846,-1.95887949493494,0.0502379572305368
"57","sleep",1.38203111510844,2.18354681279359,0.632929464580743,0.526851525885673,"sleep",12364.0786064265,4169.22878297961,2.96555532210212,0.00304998340062979
"58","mental",15.4597088557656,6.549961614766,2.36027472602493,0.0183562162703249,"mental",69817.065611585,11859.1459268318,5.88719171197827,0.00000000445506819951246
"59","chlamydia",-0.000195357663069337,0.000336101977630866,-0.581245205536679,0.561140213300889,"chlamydia",-0.770942769588602,0.58029621685319,-1.3285331649571,0.184123337839641
"60","syphilis",-0.0112844402706948,0.00682686779687039,-1.65294548048343,0.0984977418090143,"syphilis",-10.2304690216135,12.1773123770287,-0.840125366325678,0.400918467372677
"61","manufacturing",-0.0273025071174924,0.00785711739520999,-3.47487580294232,0.000521900636509738,"manufacturing",-119.359964056908,14.3835152843779,-8.29838615227431,0.00000000000000017044477819666
"62","hbp",0.0447480335656236,0.0296644082162798,1.50847551851939,0.131589636928659,"hbp",279.769147217772,54.6720890673664,5.11722072432688,0.000000333638579313496
