FIPS,Chlamydia Rate per 100000
48097,281.5
29053,340.4
33007,320.8
41011,256.7
01037,620.1
28029,1126.8
72047,164.3
46031,1819.1
36023,425.4
48099,487
39031,292.4
08023,603.4
48101,361.8
40033,515.5
27033,213.2
51580,412.3
01039,430.3
28031,738.4
13077,321.9
20035,435.3
53015,459.8
40035,391.6
51045,235.2
05031,768.3
48103,168.2
37049,798.3
05033,345.5
13079,275.7
19047,520.8
17033,154
18025,254.9
20037,568
26039,187
29055,317.1
39033,414.6
42039,251.4
55023,270.5
40037,395.9
01041,694.4
13081,574.8
05035,1375
21055,112.4
47033,412.7
48105,436.2
41013,436.5
56011,161.2
48107,294.9
05037,727.6
27035,245.4
08025,134.3
48109,319.1
72049,174.9
01043,233.8
51047,376.5
17035,222.1
21057,119.5
23005,357.2
37051,1213.7
34011,636
42041,301.4
47035,284.6
51049,639.1
31039,44.8
37053,288.7
35009,887.8
41015,219.3
08027,81.1
16037,70.6
30017,258.8
31041,73.9
40039,727.7
46033,272.4
39035,887.9
13083,209.5
29057,277.6
49009,308
27037,347.5
31043,504.9
01045,687.8
48111,356
01047,765.1
05039,545.3
19049,303.5
29059,309.9
48113,687.9
55025,496.2
30019,115.7
51590,723.3
37055,306
39037,193
45031,895.8
42043,598.8
37057,416
47037,778
37059,310.1
18027,249.4
21059,497.6
29061,240
19051,189.5
49011,324.7
46035,409.4
31045,390.6
13085,242.8
30021,115.2
31047,235.8
48115,476
46037,326.9
35011,449.7
22031,849.6
17039,316.6
48117,491.7
18029,187.9
13087,1061.2
19053,443.6
18031,299.3
20039,244.8
47039,213.7
30023,361.5
39039,498.8
01049,252.1
13089,767.2
17037,591.3
18033,319.4
29063,199.8
47041,223.5
06015,320.8
19055,169.8
18035,704.3
36025,213.4
39041,213.1
40041,362
42045,541
08029,275.2
26041,323.6
48119,300.1
02068,344.5
29065,128.6
48121,282.2
08031,1042.4
19057,669.2
41017,311.1
05041,938.6
12027,355.9
28033,540.3
31049,54.9
46039,137.9
40043,202.8
46041,2531.6
48123,507.3
48125,135.3
51051,151.5
38021,81.1
19059,128.5
20041,251.6
26043,236.5
47043,344.3
02070,2083.8
45033,1091.1
48127,784.7
51053,502.9
11001,1284.9
38023,88.3
12029,371.6
31051,350.9
54017,233.8
13091,524.2
27039,245.6
31053,340.4
55027,413.3
08033,194.2
20043,208.9
48129,241.3
13093,569
55029,192.1
72051,153.8
24019,644.6
45035,566.2
13095,1339.7
08035,200
13097,541.3
17041,226.1
20045,677.1
27041,205.5
29067,269.5
31055,661
32005,247.5
41019,304.2
46043,170.9
53017,423.4
55031,340.7
35013,707.8
05043,627.5
18037,234.3
19061,441.6
49013,205.6
25007,496.3
31057,0
29069,390.1
38025,184.8
55033,372.6
17043,274.5
37061,540.8
37063,901
36027,397.7
12031,749.7
48131,1731.4
47045,697.3
08037,340.4
13099,1001.4
22033,909.2
22035,1372.6
22037,725.9
48133,212.9
26045,397.4
55035,483.9
13101,200
48135,506.3
38027,216.5
35015,557.8
17045,270.7
37065,1000.3
45037,497.6
21061,334.7
46045,77.6
17047,125.3
20047,141.8
48137,209.6
13103,422.6
17049,242.8
06017,234.3
08041,563.8
48141,681.1
08039,186.3
13105,377.1
20049,80.5
42047,142.8
18039,501.9
32007,312.1
21063,80
20051,628.4
40045,50.8
48139,382.1
20053,129.8
01051,503.6
16039,548.2
13107,694.5
49015,169.9
19063,398.8
26047,201.7
38029,152.5
51595,1100.1
48143,613.4
36029,592.5
39043,514
42049,474.3
01053,503.8
12033,670.3
32009,0
25009,430.9
34013,811.3
36031,222.6
51057,734.2
50009,160.4
21065,275.6
01055,530.2
32011,200.2
22039,576.2
13109,738.2
02090,931.4
51600,328.8
51059,275.2
09001,371
39045,327.6
45039,688.2
72053,283
46047,207.7
30025,103
51610,228.1
48145,441.1
13111,138.6
48147,255.8
27043,254.8
46049,86.4
05045,529.8
51061,226.5
01057,462.1
13113,312.8
19065,198.2
17051,173.2
18041,221
21067,736.3
39047,247.8
42051,336.1
47047,505.5
48149,367.9
54019,148.9
47049,251.1
30027,305.8
53019,170.2
27045,175.8
31059,162.6
20055,689.9
48151,261.7
12035,320.3
30029,322.5
21069,165.7
45041,843.2
55037,46.6
72054,168.2
13115,499.2
19067,273
18043,424
21071,195
48153,328.5
51063,69.7
51065,275.1
48155,167.9
55039,329.1
17053,249.8
20057,552
42053,123.6
55041,412.2
28035,1165.4
13117,146
37067,749.4
48157,410
38031,31.2
18045,347.8
51620,1446.4
01059,278
05047,242.1
12037,342.6
13119,343
19069,257.8
16041,131.3
17055,346.3
18047,96.9
20059,390.2
21073,468.5
25011,199.7
23007,240.7
29071,305.6
28037,683.2
37069,510.2
31061,199.1
36033,212.8
39049,777
42055,299.5
47051,293.3
48159,334
51067,249.2
50011,288.3
53021,557.4
22041,738.9
24021,331.1
51069,263.1
51630,747.3
27047,374
48161,227.4
08043,173.1
19071,200.5
16043,152
56013,533.4
06019,718.7
48163,811.4
31063,346.2
05049,219.4
13121,797.6
17057,201
18049,219.4
21075,824.3
36035,397.1
39051,255.5
42057,117
31065,127.6
12039,1051.7
31067,158.2
48165,192.1
51640,362.3
17059,138.8
21077,136.9
30031,483.5
39053,210.4
48167,460.5
31069,0
08045,397
30033,0
31071,101.3
40047,477.9
49017,139.9
53023,44.6
05051,475.9
21079,325.4
24023,130.4
40049,396.5
