"cnty_fips","display_name","Value","theme_range"
49021,"""Iron, (UT)""",26.8,"18.7 - 32.7 (646)"
49023,"""Juab, (UT)""",28.4,"18.7 - 32.7 (646)"
49025,"""Kane, (UT)""",33.2,"32.8 - 35.7 (637)"
49027,"""Millard, (UT)""",30.9,"18.7 - 32.7 (646)"
49029,"""Morgan, (UT)""",25.7,"18.7 - 32.7 (646)"
49031,"""Piute, (UT)""",38,"35.8 - 38.2 (613)"
49033,"""Rich, (UT)""",32.4,"18.7 - 32.7 (646)"
49035,"""Salt Lake, (UT)""",24.9,"18.7 - 32.7 (646)"
49037,"""San Juan, (UT)""",32.7,"18.7 - 32.7 (646)"
49039,"""Sanpete, (UT)""",27.6,"18.7 - 32.7 (646)"
49041,"""Sevier, (UT)""",32.3,"18.7 - 32.7 (646)"
49043,"""Summit, (UT)""",24.4,"18.7 - 32.7 (646)"
49045,"""Tooele, (UT)""",27.4,"18.7 - 32.7 (646)"
49047,"""Uintah, (UT)""",31.3,"18.7 - 32.7 (646)"
49049,"""Utah, (UT)""",18.7,"18.7 - 32.7 (646)"
49051,"""Wasatch, (UT)""",25.5,"18.7 - 32.7 (646)"
49053,"""Washington, (UT)""",29.9,"18.7 - 32.7 (646)"
49055,"""Wayne, (UT)""",33.7,"32.8 - 35.7 (637)"
49057,"""Weber, (UT)""",28.9,"18.7 - 32.7 (646)"
56003,"""Big Horn, (WY)""",36,"35.8 - 38.2 (613)"
56007,"""Carbon, (WY)""",32.3,"18.7 - 32.7 (646)"
56013,"""Fremont, (WY)""",32.2,"18.7 - 32.7 (646)"
56017,"""Hot Springs, (WY)""",38.1,"35.8 - 38.2 (613)"
56023,"""Lincoln, (WY)""",31.6,"18.7 - 32.7 (646)"
56025,"""Natrona, (WY)""",29.8,"18.7 - 32.7 (646)"
56029,"""Park, (WY)""",32,"18.7 - 32.7 (646)"
56035,"""Sublette, (WY)""",33.4,"32.8 - 35.7 (637)"
56037,"""Sweetwater, (WY)""",30.9,"18.7 - 32.7 (646)"
56039,"""Teton, (WY)""",26.5,"18.7 - 32.7 (646)"
56041,"""Uinta, (WY)""",32.4,"18.7 - 32.7 (646)"
56043,"""Washakie, (WY)""",35.7,"32.8 - 35.7 (637)"
22031,"""De Soto, (LA)""",45.3,"41.9 - 56.9 (624)"
48001,"""Anderson, (TX)""",38.3,"38.3 - 41.8 (622)"
48005,"""Angelina, (TX)""",38.9,"38.3 - 41.8 (622)"
48007,"""Aransas, (TX)""",42.4,"41.9 - 56.9 (624)"
48013,"""Atascosa, (TX)""",35.3,"32.8 - 35.7 (637)"
48015,"""Austin, (TX)""",38.1,"35.8 - 38.2 (613)"
48019,"""Bandera, (TX)""",41.5,"38.3 - 41.8 (622)"
48021,"""Bastrop, (TX)""",37.4,"35.8 - 38.2 (613)"
48025,"""Bee, (TX)""",34.4,"32.8 - 35.7 (637)"
48027,"""Bell, (TX)""",32.7,"18.7 - 32.7 (646)"
48029,"""Bexar, (TX)""",32,"18.7 - 32.7 (646)"
48031,"""Blanco, (TX)""",40.2,"38.3 - 41.8 (622)"
48035,"""Bosque, (TX)""",41.3,"38.3 - 41.8 (622)"
48039,"""Brazoria, (TX)""",32.9,"32.8 - 35.7 (637)"
48041,"""Brazos, (TX)""",24.5,"18.7 - 32.7 (646)"
48043,"""Brewster, (TX)""",37.5,"35.8 - 38.2 (613)"
48047,"""Brooks, (TX)""",41.3,"38.3 - 41.8 (622)"
48049,"""Brown, (TX)""",38.2,"35.8 - 38.2 (613)"
48051,"""Burleson, (TX)""",40.8,"38.3 - 41.8 (622)"
48053,"""Burnet, (TX)""",38.2,"35.8 - 38.2 (613)"
48055,"""Caldwell, (TX)""",34.6,"32.8 - 35.7 (637)"
48057,"""Calhoun, (TX)""",36.8,"35.8 - 38.2 (613)"
48061,"""Cameron, (TX)""",35.3,"32.8 - 35.7 (637)"
48071,"""Chambers, (TX)""",33.5,"32.8 - 35.7 (637)"
48073,"""Cherokee, (TX)""",39.8,"38.3 - 41.8 (622)"
48081,"""Coke, (TX)""",42.3,"41.9 - 56.9 (624)"
48083,"""Coleman, (TX)""",43.7,"41.9 - 56.9 (624)"
48089,"""Colorado, (TX)""",39.7,"38.3 - 41.8 (622)"
48091,"""Comal, (TX)""",33.8,"32.8 - 35.7 (637)"
48093,"""Comanche, (TX)""",41.3,"38.3 - 41.8 (622)"
48095,"""Concho, (TX)""",42.1,"41.9 - 56.9 (624)"
48099,"""Coryell, (TX)""",31.3,"18.7 - 32.7 (646)"
48103,"""Crane, (TX)""",33.3,"32.8 - 35.7 (637)"
48105,"""Crockett, (TX)""",37.5,"35.8 - 38.2 (613)"
48109,"""Culberson, (TX)""",43.4,"41.9 - 56.9 (624)"
48123,"""DeWitt, (TX)""",40.9,"38.3 - 41.8 (622)"
48127,"""Dimmit, (TX)""",39.2,"38.3 - 41.8 (622)"
